Series Name,Series Code,Country Name,Country Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Ecuador,ECU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80.40523,..,..,..,..,..,..,..,86.19333,..,..,..,..,..,..,..,..,..,..,89.69709,..,..,..,..,..,81.68059,..,81.4512,90.47011,90.22082,90.95168,92.21808,93.25386,93.25662,93.31453,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,"Egypt, Arab Rep.",EGY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22.43801,..,..,..,..,..,..,..,..,..,31.39267,..,..,..,..,..,..,..,..,..,43.59531,..,..,..,..,..,..,..,..,30.79796,57.81191,..,..,..,63.51581,..,65.75666,67.17986,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,El Salvador,SLV,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,71.28053,..,..,..,..,..,..,..,..,..,..,..,..,..,81.00382,79.66213,81.3595,81.81795,82.30802,83.01564,..,84.67035,..,86.2171,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Equatorial Guinea,GNQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,81.623,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Eritrea,ERI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,40.22442,..,..,..,..,..,54.80107,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Estonia,EST,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.60148,..,..,..,..,..,..,..,..,..,..,99.76006,..,..,..,..,..,..,..,..,..,..,99.90948,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Ethiopia,ETH,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18.51498,..,..,..,..,..,..,..,..,..,22.8,17.9772,..,28.92164,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Euro area,EMU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Europe & Central Asia,ECS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Europe & Central Asia (excluding high income),ECA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Europe & Central Asia (IDA & IBRD),TEC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,European Union,EUU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Fiji,FJI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Finland,FIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Fragile and conflict affected situations,FCS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,France,FRA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,French Polynesia,PYF,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Gabon,GAB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,65.32631,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,79.87897,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,"Gambia, The",GMB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.06155,..,..,..,..,..,..,..,..,..,..,..,..,33.57535,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Georgia,GEO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.55285,..,..,..,..,..,..,..,..,..,..,..,99.51458,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Germany,DEU,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Ghana,GHA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,49.79196,..,..,..,..,..,..,..,..,..,65.29469,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Gibraltar,GIB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Greece,GRC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,85.31999,..,..,..,..,..,..,..,..,..,89.3533,..,..,..,..,..,..,..,..,..,94.23941,..,..,..,90.76541,..,91.81247,..,91.84761,..,96.22849,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Greenland,GRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,100,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Grenada,GRD,..,..,..,..,..,..,..,..,..,..,97.58978,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Guam,GUM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Guatemala,GTM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57.29266,..,..,..,..,..,..,..,63.34138,..,..,..,..,..,..,..,..,..,72.42804,72.12759,76.37066,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Guinea,GIN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9.74307,..,..,..,..,..,..,18.23868,..,..,..,..,..,..,12.19195,..,..,..,21.96228,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.58826,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27.49421,..,..,..,..,..,..,..,..,..,..,..,..,..,30.76851,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Guyana,GUY,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,87.25198,..,..,..,..,85.03461,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Haiti,HTI,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,32.52496,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,54.86147,..,..,44.59945,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,High income,HIC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Honduras,HND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,80.2236,..,..,..,..,..,83.45277,..,..,84.72503,84.93027,85.05148,85.28473,87.02599,87.8937,88.93486,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,"Hong Kong SAR, China",HKG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Hungary,HUN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.45413,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,IBRD only,IBD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Iceland,ISL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,IDA & IBRD total,IBT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,IDA blend,IDB,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,IDA only,IDX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,IDA total,IDA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,India,IND,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,25.67625,..,..,..,..,..,..,..,..,..,33.72953,..,..,..,..,..,..,..,..,..,47.8421,..,..,..,..,50.82376,..,..,..,..,59.27732,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Indonesia,IDN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,57.69463,..,..,..,..,..,..,..,..,..,75.27012,..,..,..,..,..,..,..,..,..,..,..,..,..,86.79959,..,88.78698,..,89.10139,89.67712,..,90.0687,..,..,93.4509,93.33571,93.58692,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24.42308,..,..,..,..,..,..,..,..,..,41.03395,..,..,..,..,56.15642,..,..,..,..,66.06776,..,..,..,..,..,70.4,..,..,76.80264,77.24002,..,77.69472,..,..,..,78.41627,79.75584,79.83935,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Iraq,IRQ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,64.1695,..,..,..,..,..,..,..,..,..,..,..,..,37.95525,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Ireland,IRL,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Israel,ISR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,88.67472,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Italy,ITA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,95.53667,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.04215,..,..,..,..,..,..,..,..,..,98.57957,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Jamaica,JAM,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,85.87208,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Japan,JPN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Jordan,JOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,52.11061,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,84.71392,..,87.00581,..,88.90331,..,..,89.20774,93.93346,97.37201,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Kazakhstan,KAZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,96.13877,..,..,..,..,..,..,..,..,..,99.2899,..,..,..,..,..,..,..,..,..,99.68429,99.73899,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Kenya,KEN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,77.89298,..,..,..,..,..,..,66.86312,..,..,..,..,..,..,74.00632,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Kiribati,KIR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,99.99761,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,"Korea, Rep.",KOR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Kuwait,KWT,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,48.01521,..,..,..,..,59.1105,..,..,..,..,68.84937,..,..,..,..,..,..,..,..,..,74.14872,..,..,..,..,..,..,..,..,..,91.0425,90.82863,91.50349,91.77865,..,92.68094,..,94.96525,94.30116,..,94.47005,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Kyrgyz Republic,KGZ,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,98.13063,..,..,..,..,..,..,..,..,..,98.98121,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Lao PDR,LAO,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,47.90236,..,..,..,..,58.4607,60.90252,..,..,..,63.22699,..,..,..,..,..,49.72308,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Late-demographic dividend,LTE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Latin America & Caribbean,LCN,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Latin America & Caribbean (excluding high income),LAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,Latin America & Caribbean (IDA & IBRD),TLA,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
